PO,Part number,ITEM Name,PU,Chassis-Cab,ROW,GCC,Australia,Canada / Mexico,US,EU,Quantity per           vehicle,Procured,Print in house,Engraving or riveting,Self destructive,Removable,Prio,Catalogue number,"PTO ""engineering vehicle""","SOP ""saleable vehicle""",Release started (only ECO),MODULE,Drawings chek,variant formula,Label,notes,image,markets,complexity,market_count,complexity_count
x,PL-0000000040,MANUFACTURERS PLATE LABLE US,True,False,False,False,False,False,True,False,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,ZDU,,,PL-0000000040.png,"['PU', 'US']","['Print in house', 'Self destructive']",2,2
x,PL-0000000041,MANUFACTURERS PLATE LABLE CDN,True,False,False,False,False,True,False,False,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,ZDV,,,PL-0000000041.png,"['PU', 'Canada / Mexico']","['Print in house', 'Self destructive']",2,2
x,PL-0000000006,MANUFACTURERS PLATE LABLE GCC,True,False,False,True,False,False,False,False,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,ZDC OR ZDD OR ZDE OR ZDZ OR ZEA OR ZEB,,,PL-0000000006.png,"['PU', 'GCC']","['Print in house', 'Self destructive']",2,2
x,PL-0000000031,MANUFACTURERS PLATE LABLE AUS,True,False,False,False,True,False,False,False,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,ZDF,,,PL-0000000031.png,"['PU', 'Australia']","['Print in house', 'Self destructive']",2,2
x,PL-0000000032,MANUFACTURERS PLATE LABLE ROW,True,False,True,False,False,False,False,False,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,AAN OR AAP AND !(ZDC OR ZDD OR ZDE OR ZDF OR ZDZ OR ZEB OR ZEA) OR AAJ AND !(ZDC OR ZDD OR ZDE OR ZDF OR ZDZ OR ZEB OR ZEA),,,PL-0000000032.png,"['PU', 'ROW']","['Print in house', 'Self destructive']",2,2
x,"EI-0000015560/
PL-0000000008",TIRE PRESSURE LABLE B-PILLAR/DOOR US,True,False,False,False,False,True,True,False,1,True,True,False,True,False,1.0,3.5,True,True,True,HANG ON PARTS,okay,ZDU OR ZDV,,,EI-0000015560_PL-0000000008.png,"['PU', 'Canada / Mexico', 'US']","['Procured', 'Print in house', 'Self destructive']",3,3
x,PL-0000000009,VEHICLE IDENT NR LABLE WINDSHIELD,True,True,True,True,True,True,True,True,1,False,True,False,True,False,1.0,4.1,True,True,True,BODY IN WHITE,okay,all,,,PL-0000000009.png,"['PU', 'Chassis-Cab', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",8,2
x,PL-0000000010,FUEL TYPE LABLE,True,False,True,True,True,False,False,True,Gasoline,False,True,False,True,False,2.0,5.4,True,True,True,HANG ON PARTS,okay,GEB OR GEH,,,PL-0000000010.png,"['PU', 'ROW', 'GCC', 'Australia', 'EU']","['Print in house', 'Self destructive']",5,2
x,PL-0000000042,FUEL TYPE LABLE US,True,False,False,False,False,True,True,False,Gasoline,False,True,False,True,False,2.0,5.4,True,True,True,HANG ON PARTS,okay,GEI,,,PL-0000000042.png,"['PU', 'Canada / Mexico', 'US']","['Print in house', 'Self destructive']",3,2
x,PL-0000000011,EMISSION LABLE US,True,False,False,False,False,True,True,False,1,False,True,False,True,False,1.0,6.6,True,True,True,HANG ON PARTS,okay,ZDU OR ZDV,,,PL-0000000011.png,"['PU', 'Canada / Mexico', 'US']","['Print in house', 'Self destructive']",3,2
x,EI-0000024850,AIR CONDITIONING LABLE,True,True,True,False,True,True,True,False,1234yf,True,False,False,True,False,1.0,6.9,True,True,True,CHASSIS,okay,DSC,,,,"['PU', 'Chassis-Cab', 'ROW', 'Australia', 'Canada / Mexico', 'US']","['Procured', 'Self destructive']",6,2
x,EI-0000024849,AIR CONDITIONING LABLE,True,True,True,True,False,False,False,False,134a,True,False,False,True,False,1.0,6.9,True,True,True,CHASSIS,okay,DSD,,,,"['PU', 'Chassis-Cab', 'ROW', 'GCC']","['Procured', 'Self destructive']",4,2
x,PL-0000000013,LED LABLE,True,False,True,True,True,True,True,True,1,True,False,False,True,False,1.0,6.17,True,True,True,CHASSIS,okay,all,,,PL-0000000013.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
x,EI-0000015589,COMPLIANCE LABLE EU,False,False,False,False,False,False,False,False,1,True,False,False,True,False,1.0,8.1,True,True,True,INTERIOR,okay,(AAB OR AAN) AND GAB,,,EI-0000015589.png,[],"['Procured', 'Self destructive']",0,2
x,"PL-0000000014
PL-0000000026",ANTI THEFT PROT IDENTIFICTION LABLE US,True,False,False,False,False,False,True,False,16,False,True,False,True,False,1.0,9.2,True,True,True,HANG ON PARTS,okay,ZDU,,,PL-0000000014_PL-0000000026.png,"['PU', 'US']","['Print in house', 'Self destructive']",2,2
x,"PL-0000000015
PL-0000000027",ANTI THEFT PROT IDENTIFICTION LABLE GCC,True,False,False,True,False,False,False,False,13,False,True,False,True,False,1.0,9.2,True,True,True,HANG ON PARTS,okay,ZDC OR ZDD OR ZDE OR ZDZ OR ZEA OR ZEB,,,PL-0000000015_PL-0000000027.png,"['PU', 'GCC']","['Print in house', 'Self destructive']",2,2
x,EI-0000015597,HAZARDOUS TO HEALTH LABLE US,True,False,False,False,False,False,True,False,1,True,False,False,False,True,1.0,19.2,False,True,True,HANG ON PARTS,okay,ZDU,,,EI-0000015597.png,"['PU', 'US']","['Procured', 'Removable']",2,2
x,EI-0000016439,WARNING LABEL - SAFETY VEST,True,False,True,True,True,True,True,True,"2 SW
1 PU",True,False,False,True,False,2.0,2.6,True,True,True,HANG ON PARTS,okay,all,,,EI-0000016439.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
x,EI-0000022383,VIN PROTECTION LABEL,True,False,True,True,True,True,True,True,1,True,False,False,True,False,2.0,3.3,True,True,True,BODY IN WHITE,okay,all,,,EI-0000022383.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
x,EI-0000016442,SIDE AIRBAG WARNING US/CDN,True,False,False,False,False,True,True,False,1,True,False,False,True,False,2.0,3.8,True,True,True,HANG ON PARTS,okay,ZDU OR ZDV,,,EI-0000016442.png,"['PU', 'Canada / Mexico', 'US']","['Procured', 'Self destructive']",3,2
x,PL-0000000016,ROOF OVERLOADING WARNING,True,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,3.11,True,True,True,HANG ON PARTS,okay,all,,,PL-0000000016.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
x,PL-0000000017,LABEL FOR ACCESSORIES/OPTIONS,True,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,3.14,False,True,True,HANG ON PARTS,okay,all,,,PL-0000000017.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
x,EI-0000016449,WARNING LABEL - REFUELLING BY CANISTER,True,False,True,True,True,True,True,True,1,True,False,False,True,False,2.0,5.5,True,True,True,HANG ON PARTS,okay,all,,,EI-0000016449.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
x,PL-0000000018,OIL RECOMMENDATION,True,False,True,True,True,True,True,True,1,False,True,False,True,False,1.0,6.8,True,True,True,POWERTRAIN,okay,all,,,PL-0000000018.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
x,EI-0000016454,FAN BELT WARNING,True,False,True,True,True,True,True,True,Gasoline,True,False,False,True,False,2.0,6.13,True,True,True,CHASSIS,okay,(GEB) OR (GEH) OR (GEI),,,EI-0000016454.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
x,PL-0000000019,4WD DYNAMOMETER TEST,True,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,6.16,True,True,True,CHASSIS,okay,all,,,PL-0000000019.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
x,PL-0000000020,HOT ENGINE PARTS WARNING,True,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,6.21,True,True,True,CHASSIS,okay,all,,,PL-0000000020.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
